Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
SHEKHAWATI,Shekhawati Industries Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SHEMAROO,Shemaroo Entertainment Limited,Communication Services,Media,Entertainment,Media & Telecom
SHILCTECH,Shilchar Technologies Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
SHILPAMED,Shilpa Medicare Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
SHIVALIK,Shivalik Rasayan Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
SHIVAMAUTO,Shivam Autotech Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SHIVAMILLS,Shiva Mills Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SHIVATEX,Shiva Texyarn Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SHIVAUM,Shiv Aum Steels Limited,Basic Materials,Metals,Steel,Metals & Mining
SHK,S H Kelkar and Company Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
SHOPERSTOP,Shoppers Stop Limited,Consumer Cyclical,Retail,Retail,Consumer Goods
SHRADHA,Shradha Infraprojects Limited,Real Estate,Realty,Real Estate Development,Realty
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,Basic Materials,Cement & Materials,Building Materials,Cement & Building
SHREECEM,SHREE CEMENT LIMITED,Basic Materials,Cement & Materials,Building Materials,Cement & Building
SHREEJISPG,Shreeji Shipping Global Limited,Industrials,Logistics,Marine Shipping,Logistics
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
SHREERAMA,Shree Rama Multi-Tech Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
SHRENIK,Shrenik Limited,Basic Materials,Paper,Paper & Pulp,Paper & Pulp
SHREYANIND,Shreyans Industries Limited,Basic Materials,Paper,Paper & Pulp,Paper & Pulp
SHRINGARMS,Shringar House of Mangalsutra Limited,Consumer Cyclical,Retail,Luxury Goods,Consumer Goods
SHRIPISTON,Shriram Pistons & Rings Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
SHRIRAMFIN,Shriram Finance Limited,Financial Services,Finance,Non-Banking Finance,Banking & Finance
SHRIRAMPPS,Shriram Properties Limited,Real Estate,Realty,Real Estate Development,Realty
SHYAMCENT,Shyam Century Ferrous Limited,Basic Materials,Metals,Steel,Metals & Mining
SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,Metals,Iron & Steel,Metals & Mining
SHYAMTEL,Shyam Telecom Limited,Technology,Hardware,Communication Equipment,IT
SICALLOG,Sical Logistics Limited,Industrials,Logistics,Integrated Freight & Logistics,Logistics
SIEMENS,Siemens Limited,Technology,Hardware,Industrial Automation,Capital Goods
SIGACHI,Sigachi Industries Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
SIGIND,Signet Industries Limited,Industrials,Diversified,Conglomerates,Capital Goods
SIGMA,Sigma Solve Limited,Technology,IT Services & Consulting,IT Services,IT
SIGNATURE,Signatureglobal (India) Limited,Real Estate,Realty,Real Estate,Realty
SIGNPOST,Signpost India Limited,Communication Services,Media,Advertising Agencies,Media & Telecom
SIKKO,Sikko Industries Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
SIL,Standard Industries Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SILGO,Silgo Retail Limited,Consumer Cyclical,Retail,Luxury Goods,Consumer Goods
SILINV,SIL Investments Limited,Financial Services,Finance,Asset Management,Banking & Finance
SILLYMONKS,Silly Monks Entertainment Limited,Communication Services,Media,Entertainment,Media & Telecom
SILVERTUC,Silver Touch Technologies Limited,Technology,IT Services & Consulting,IT Services,IT
SIMBHALS,Simbhaoli Sugars Limited,Consumer Defensive,FMCG,Confectioners,FMCG
SIMPLEXINF,Simplex Infrastructures Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
